diacritic_pos	diacritic_freq	no_diacritic_pos	no_diacritic_freq	total_freq	cnt	detected
2	0	2	0	0	934	2
2	0	2	0	0	935	2
2	0	2	0	0	936	2
2	0	2	0	0	937	2
2	0	2	0	0	938	2
2	0	2	0	0	939	2
2	0	2	0	0	940	2
2	0	2	0	0	941	2
2	0	2	0	0	942	2
2	0	2	0	0	943	2
2	0	2	0	0	944	2
2	0	2	0	0	945	2
2	0	2	0	0	946	2
2	0	2	0	0	947	2
2	0	2	0	0	948	2
2	0	2	0	0	949	2
2	0	2	0	0	950	2
2	0	2	0	0	951	2
2	0	2	0	0	952	2
2	0	2	0	0	953	2
2	0	2	0	0	954	2
2	0	2	0	0	955	2
2	0	2	0	0	956	2
2	0	2	0	0	957	2
2	0	2	0	0	958	2
2	0	2	0	0	959	2
2	0	2	0	0	960	2
2	0	2	0	0	961	2
2	0	2	0	0	962	2
2	0	2	0	0	963	2
2	3	2	2	5	964	0
2	0	2	9	9	965	2
2	0	2	0	0	966	2
2	0	2	0	0	967	2
2	0	2	0	0	968	2
2	0	2	0	0	969	2
